category,polarity,Anzahl von reviewid
,,340
BATTERY#GENERAL,negative,3
BATTERY#GENERAL,positive,1
BATTERY#MISCELLANEOUS,negative,4
BATTERY#OPERATION_PERFORMANCE,negative,25
BATTERY#OPERATION_PERFORMANCE,neutral,3
BATTERY#OPERATION_PERFORMANCE,positive,32
BATTERY#QUALITY,negative,7
BATTERY#QUALITY,neutral,1
BATTERY#QUALITY,positive,1
COMPANY#GENERAL,negative,38
COMPANY#GENERAL,neutral,3
COMPANY#GENERAL,positive,28
CPU#MISCELLANEOUS,negative,1
CPU#MISCELLANEOUS,neutral,1
CPU#OPERATION_PERFORMANCE,negative,1
CPU#OPERATION_PERFORMANCE,positive,6
CPU#QUALITY,negative,1
CPU#QUALITY,positive,1
DISPLAY#DESIGN_FEATURES,negative,4
DISPLAY#DESIGN_FEATURES,neutral,3
DISPLAY#DESIGN_FEATURES,positive,12
DISPLAY#GENERAL,negative,2
DISPLAY#GENERAL,positive,11
DISPLAY#MISCELLANEOUS,negative,1
DISPLAY#OPERATION_PERFORMANCE,negative,9
DISPLAY#OPERATION_PERFORMANCE,neutral,1
DISPLAY#QUALITY,negative,12
DISPLAY#QUALITY,neutral,1
DISPLAY#QUALITY,positive,18
DISPLAY#USABILITY,negative,1
DISPLAY#USABILITY,neutral,2
DISPLAY#USABILITY,positive,1
FANS_COOLING#DESIGN_FEATURES,positive,1
FANS_COOLING#OPERATION_PERFORMANCE,negative,1
FANS_COOLING#QUALITY,negative,2
GRAPHICS#DESIGN_FEATURES,neutral,1
GRAPHICS#DESIGN_FEATURES,positive,1
GRAPHICS#GENERAL,negative,3
GRAPHICS#GENERAL,neutral,1
GRAPHICS#GENERAL,positive,12
GRAPHICS#MISCELLANEOUS,negative,1
GRAPHICS#MISCELLANEOUS,positive,1
GRAPHICS#QUALITY,positive,4
HARD_DISC#DESIGN_FEATURES,negative,3
HARD_DISC#DESIGN_FEATURES,positive,9
HARD_DISC#QUALITY,negative,9
HARDWARE#QUALITY,negative,3
KEYBOARD#DESIGN_FEATURES,negative,9
KEYBOARD#DESIGN_FEATURES,positive,9
KEYBOARD#GENERAL,negative,1
KEYBOARD#GENERAL,neutral,1
KEYBOARD#GENERAL,positive,7
KEYBOARD#OPERATION_PERFORMANCE,negative,6
KEYBOARD#OPERATION_PERFORMANCE,positive,1
KEYBOARD#QUALITY,negative,8
KEYBOARD#QUALITY,positive,7
KEYBOARD#USABILITY,negative,3
KEYBOARD#USABILITY,neutral,1
KEYBOARD#USABILITY,positive,7
LAPTOP#CONNECTIVITY,negative,15
LAPTOP#CONNECTIVITY,positive,17
LAPTOP#DESIGN_FEATURES,negative,41
LAPTOP#DESIGN_FEATURES,neutral,21
LAPTOP#DESIGN_FEATURES,positive,100
LAPTOP#GENERAL,negative,96
LAPTOP#GENERAL,neutral,3
LAPTOP#GENERAL,positive,314
LAPTOP#MISCELLANEOUS,negative,19
LAPTOP#MISCELLANEOUS,neutral,11
LAPTOP#MISCELLANEOUS,positive,61
LAPTOP#OPERATION_PERFORMANCE,negative,43
LAPTOP#OPERATION_PERFORMANCE,neutral,3
LAPTOP#OPERATION_PERFORMANCE,positive,111
LAPTOP#PORTABILITY,negative,8
LAPTOP#PORTABILITY,positive,36
LAPTOP#PRICE,negative,15
LAPTOP#PRICE,neutral,21
LAPTOP#PRICE,positive,40
LAPTOP#QUALITY,negative,85
LAPTOP#QUALITY,neutral,3
LAPTOP#QUALITY,positive,64
LAPTOP#USABILITY,negative,27
LAPTOP#USABILITY,neutral,2
LAPTOP#USABILITY,positive,75
MEMORY#DESIGN_FEATURES,negative,1
MEMORY#DESIGN_FEATURES,neutral,4
MEMORY#DESIGN_FEATURES,positive,6
MOTHERBOARD#QUALITY,negative,7
MOUSE#DESIGN_FEATURES,negative,2
MOUSE#DESIGN_FEATURES,neutral,1
MOUSE#DESIGN_FEATURES,positive,6
MOUSE#GENERAL,negative,3
MOUSE#GENERAL,positive,1
MOUSE#OPERATION_PERFORMANCE,negative,12
MOUSE#OPERATION_PERFORMANCE,neutral,1
MOUSE#OPERATION_PERFORMANCE,positive,3
MOUSE#QUALITY,negative,8
MOUSE#USABILITY,negative,5
MOUSE#USABILITY,neutral,2
MOUSE#USABILITY,positive,6
MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,4
MULTIMEDIA_DEVICES#GENERAL,negative,3
MULTIMEDIA_DEVICES#GENERAL,positive,1
MULTIMEDIA_DEVICES#MISCELLANEOUS,positive,1
MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative,4
MULTIMEDIA_DEVICES#QUALITY,negative,9
MULTIMEDIA_DEVICES#QUALITY,neutral,3
MULTIMEDIA_DEVICES#QUALITY,positive,2
MULTIMEDIA_DEVICES#USABILITY,negative,3
OPTICAL_DRIVES#QUALITY,negative,2
OS#DESIGN_FEATURES,positive,2
OS#GENERAL,negative,6
