keyword,aspect
250 gb,1
really nice graphics card,1
nice graphics card,1
amazing,0
ve,0
portability,1
whole life,0
get,0
10 plus hours,0
though,0
get used,0
ram,1
life,0
super fast processor,1
super fast processor,1
absolutely amazing,0
easy,0
day,0
mine,0
fast,0
already used,0
upgrade,0
battery,1
computer,0
plenty,0
storage,1
shocked,0
hours,0
really fast,0
fast processing,1
fast processing,1
macs,0
pc user,0
thing,0
yahoo,0
fine,0
screen,1
everything,0
capacity,1
highest,0
don,0
machine,0
high enough,0
speed,1
build,0
resolution,1
highest available setting,1
understand,0
pages,0
screen isn,1
mail,0
high,0
dvd burner broke,1
lacking,0
improvement,0
got back,0
would hate,0
see,0
4+ people,0
informing,0
contact,0
first dell,0
returned late,0
return,0
let,0
breaking within 1 year,1
currently,0
speaking,0
guarantee,0
returned late,0
returned,0
returned,0
town,0
hate,0
know,0
customer service,1
improving,0
within 15 days,0
say,0
sent,0
broken part,1
back,0
4+ people,0
without informing,0
purchase,0
purchase,0
1 year,0
returned later,0
broken part would,1
needed,0
people,0
heard,0
called,0
told,0
transfer,0
5th person,0
time,0
working,0
breaking,0
replacement part,1
replacement part,1
needless,0
ever purchase,0
15 days,0
nice day,0
requiring,0
4 different people,0
dell,0
hung,0
last dell,0
company,0
damaged part,1
damaged part,1
purchased,0
products,0
report,0
inform,0
burning 3 dvd,0
spoke,0
recommend,0
broken part,1
laptop 9 months ago,1
price,1
features arent friendly,1
cost,1
operation,1
etc,0
sound quality,1
volume wheel,1
like,0
poor quality,1
electronics,1
anything,0
screen quit working,1
feel,0
know,0
baby,0
great battery life,1
defective,1
overall,0
original toshiba laptop crashed right,1
netbook,0
weeks,0
although,0
three weeks,0
purchased,0
fact,0
original toshiba laptop crashed,1
poor performance,1
bought,0
warranty expired,1
say,0
needless,0
happy,0
good laptop,1
barely fits,1
mobile,1
desk,1
15,0
laptop,1
advertised,0
price,1
wanting,0
carrying cases,1
large,1
good,0
casing looks like,1
casing,1
peformance,1
sit,0
great battery life,1
make,0
crisp screen,1
computer,1
plenty,0
light home,0
business,0
don,0
happy,0
really think,0
avid gamer happy,0
designed,0
great computer,1
might,0
business use,1
light home use,1
product,1
cheap,1
purchased,0
equal,0
happy,0
cheaper price,1
without,0
pleased,0
academic studies,0
love,0
someone like,0
also love,0
tutorials making,1
convenient size,1
